seed,r,epoch,F_proxy,w_proxy,dmn_proxy
10,0.0,0,266.0632701775967,0.99085,0.9688520791293833
10,0.0,1,258.24108065091644,0.99245,0.9972795066936448
10,0.0,2,254.19452921549478,0.9934499999999999,0.9999610730117522
10,0.0,3,251.53961944580078,0.9946999999999999,0.9999978748531798
10,0.0,4,249.72310149363983,0.9952000000000002,0.9999994092041082
10,0.0,5,248.40295977470203,0.99545,0.9999996286291435
10,0.0,6,247.41974581204929,0.9957,0.9999995948382565
10,0.0,7,246.6313251593174,0.9958500000000001,0.9999997632029994
10,0.0,8,246.02760804005158,0.9958500000000001,0.9999997644909538
10,0.0,9,245.53214146540716,0.99595,0.9999997449516468
10,0.0,10,245.13519404484674,0.9959,0.9999997905550888
10,0.0,11,244.7987518310547,0.9960000000000001,0.9999996937114384
10,0.0,12,244.52799263978616,0.9961500000000001,0.9999996004388322
10,0.0,13,244.29163595346304,0.9958500000000001,0.9999994826493962
10,0.0,14,244.11669413248697,0.99565,0.9999995154333333
10,0.2,0,233.94197456204162,0.9968999999999999,0.967661041470063
10,0.2,1,228.18013654436385,0.9976500000000001,0.9997224364002067
10,0.2,2,225.5486068725586,0.9974000000000001,0.9999753354586205
10,0.2,3,223.9477778843471,0.99755,0.9999915555282373
10,0.2,4,222.8183519013074,0.9977500000000001,0.9999960376382373
10,0.2,5,221.96804217902982,0.9977500000000001,0.9999978927697798
10,0.2,6,221.30874010981347,0.99785,0.9999986473835033
10,0.2,7,220.79915260782047,0.9975999999999999,0.9999985639206106
10,0.2,8,220.39127256432357,0.9978,0.999994460343524
10,0.2,9,220.0557535911093,0.99755,0.9999848590936511
10,0.2,10,219.7566855294364,0.99745,0.999969520575251
10,0.2,11,219.5313960484096,0.9975999999999999,0.9999148503506198
10,0.2,12,219.32180832843392,0.9976499999999999,0.994473734413654
10,0.2,13,219.15594824966118,0.9977,0.9613473139863064
10,0.2,14,219.02393403345224,0.99755,0.9443191834641131
10,0.3,0,218.47351706564965,0.99695,0.6699359602367126
