r,mean_epoch,std_epoch,count_crossed,total_seeds,fraction_never_crossed
0.0,0.0,0.0,5,5,0.0
0.2,0.4,0.5477225575051662,5,5,0.0
0.3,0.6,0.5477225575051661,5,5,0.0
0.4,2.2,1.0954451150103321,5,5,0.0
0.5,4.333333333333333,2.081665999466133,3,5,0.4
1.0,,,0,5,1.0
